wavenumber,transmittance
2119.028580336, 0.872499859
2118.908129486, 0.797300148
2118.787600051, 0.874899995
2118.667070615, 0.957599998
2118.54654118, 0.969599978
2118.426011745, 0.972900121
2118.30548231, 0.981100148
2118.184952875, 0.986600153
2118.06442344, 0.985100025
2117.943894005, 0.98429998
2117.82336457, 0.97539987
2117.702835134, 0.975099983
2117.582305699, 0.979799944
2117.461776264, 0.979400095
2117.341246829, 0.976099953
2117.220606507, 0.969999827
2117.100077072, 0.973399931
2116.979547637, 0.979600019
2116.859018201, 0.978899936
2116.738488766, 0.970799872
2116.617959331, 0.96820016
2116.497429896, 0.96760004
2116.376900461, 0.970899834
2116.256371026, 0.982900162
2116.135841591, 0.984000093
2116.015312156, 0.978300164
2115.89478272, 0.980500027
2115.774253285, 0.980799913
2115.65372385, 0.979600019
2115.533194415, 0.977500119
2115.412743565, 0.96760004
2115.29221413, 0.971799841
2115.171684695, 0.977199884
2115.05115526, 0.975900029
2114.930625825, 0.976500149
2114.810096389, 0.969500016
2114.689566954, 0.964900018
2114.569037519, 0.96920013
2114.448508084, 0.977999929
2114.327978649, 0.982599927
2114.207449214, 0.986499842
2114.086919779, 0.986299918
2113.966390344, 0.979099861
2113.845860908, 0.974199976
2113.725410058, 0.975199946
2113.604880623, 0.9743999
2113.484351188, 0.970400023
2113.363821753, 0.969500016
2113.243292318, 0.970200099
2113.122762883, 0.97069991
2113.002233448, 0.97699996
2112.881704013, 0.983000124
2112.761174577, 0.974600173
2112.640645142, 0.965600101
2112.520115707, 0.964800056
2112.399586272, 0.972399962
2112.279056837, 0.975600142
2112.158527402, 0.970300061
2112.038076552, 0.85640004
2111.917547117, 0.703299899
2111.797017682, 0.778300034
2111.676488246, 0.922799952
2111.555958811, 0.95460009
2111.435429376, 0.956799953
2111.314899941, 0.958899854
2111.194370506, 0.976099953
2111.073841071, 0.984200018
2110.953311636, 0.984800138
2110.832782201, 0.981799882
2110.712252765, 0.975900029
2110.59172333, 0.96969994
2110.471193895, 0.970100137
2110.350469926, 0.978099891
2110.22994049, 0.977800005
2110.109411055, 0.977999929
2109.98888162, 0.977800005
2109.868352185, 0.978700012
2109.74782275, 0.97390009
2109.627293315, 0.976299877
2109.50676388, 0.974299938
2109.386234445, 0.971599917
2109.265705009, 0.977500119
2109.145175574, 0.984599866
2109.024646139, 0.959300051
2108.904116704, 0.865099877
2108.783587269, 0.855099836
2108.663136419, 0.937399991
2108.542606984, 0.972599886
2108.422077549, 0.978199853
2108.301548114, 0.973599855
2108.181018678, 0.966400146
2108.060489243, 0.962599845
2107.939959808, 0.965099942
2107.819430373, 0.971599917
2107.698900938, 0.977700043
2107.578371503, 0.983900131
2107.457842068, 0.980400065
2107.337312633, 0.977500119
2107.216783197, 0.976199915
2107.096253762, 0.977700043
2106.975802912, 0.979699982
2106.855273477, 0.977800005
2106.734744042, 0.975199946
2106.614214607, 0.978199853
2106.493685172, 0.984399942
2106.373155737, 0.985199987
2106.252626302, 0.979600019
2106.132096866, 0.969599978
2106.011567431, 0.971200068
2105.891037996, 0.975099983
2105.770508561, 0.973399931
2105.649979126, 0.98120011
2105.529449691, 0.987600122
2105.408920256, 0.980999837
2105.288279933, 0.972100076
2105.167750498, 0.970200099
2105.047221063, 0.972000113
2104.926691628, 0.977800005
2104.806162193, 0.983399972
2104.685632758, 0.983599897
2104.565103323, 0.981400034
2104.444573888, 0.979899906
2104.324044452, 0.980300102
2104.203515017, 0.97699996
2104.082985582, 0.972900121
2103.962456147, 0.973399931
2103.841926712, 0.970899834
2103.721397277, 0.974299938
2103.600867842, 0.983800169
2103.480227519, 0.978999899
2103.359698084, 0.973000083
2103.239168649, 0.9723
2103.118639214, 0.974900059
2102.998109779, 0.976700074
2102.877580344, 0.973399931
2102.757050909, 0.973100045
2102.636521474, 0.975099983
2102.515992038, 0.980899875
2102.395462603, 0.986900039
2102.274933168, 0.978899936
2102.154403733, 0.967500077
2102.033874298, 0.970200099
2101.913344863, 0.971100106
2101.792815428, 0.94879985
2101.67255405, 0.850600148
2101.552024615, 0.786400099
2101.43149518, 0.873199942
2101.310965745, 0.949699858
2101.19043631, 0.964700094
2101.069906874, 0.968699971
2100.949377439, 0.975299908
2100.828848004, 0.985100025
2100.708318569, 0.981300072
2100.587789134, 0.978700012
2100.467259699, 0.970100137
2100.346730264, 0.969999827
2100.226200828, 0.972100076
2100.105476859, 0.972100076
2099.984947424, 0.973399931
2099.864417989, 0.976899998
2099.743888553, 0.987099963
2099.623359118, 0.987000001
2099.502829683, 0.982499965
2099.382300248, 0.979600019
